Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	tree_length
0	-1003.954	-1070.425	66.47075	0.0258543	0.0649933	0.0198966	0.00978304	0.0481963	0.000256311	0.00468053	0.13111	0.0071817	0.0527587	0.0468863	0.00103473	0.0070656	0.00351879	0.00874777	0.0298605	0.000874588	0.0019788	0.016846	0.0233732	0.0544203	0.0072126	0.0353318	0.0132469	0.00268174	0.0564639	0.0534784	0.0955084	0.133827	0.00330829	0.17748	0.0177204	0.0765388	0.0910634	0.110094	0.0510926	0.0148899	0.0270499	0.160991	0.0189526	0.0407468	0.0446394	0.261506	0.018318	0.0162452	0.0989688	0.00854001	0.103638	0.0722601	0.889067	1.208	0.494063	0.709017	0.898272	1.11325	1.4104	2.02403	0.5098307	1.37997	0.0109039	0.0274105	0.00839125	0.00412593	0.0203265	0.000108097	0.00197398	0.0552946	0.00302883	0.0222506	0.019774	0.000436392	0.00297987	0.00148402	0.00368931	0.0125934	0.000368852	0.000834545	0.00710469	0.0098575	0.0229514	0.00304186	0.0149009	0.00558677	0.001131	0.0238133	0.0225541	0.04028	0.0564406	0.00139525	0.0748511	0.00747348	0.0322797	0.0384054	0.0464316	0.0215479	0.0062797	0.0114081	0.067897	0.00799312	0.0171847	0.0188264	0.110288	0.0077255	0.00685132	0.0417394	0.00360169	0.0437087	0.0304752	2.371112
36	-996.4036	-1063.714	67.31037	0.012662	0.0261593	0.00572639	0.0132267	0.0178175	0.000876612	0.00613249	0.0670125	0.0181939	0.030566	0.0597254	0.000172341	0.0014692	0.0105077	0.00170208	0.00853167	0.00111451	0.00645242	0.0257283	0.0316613	0.0556304	0.0108648	0.00327439	0.0240836	0.00281119	0.00589336	0.0277593	0.04201	0.0654538	0.0125283	0.0245084	0.0230957	0.0377286	0.0591472	0.0935205	0.0237024	0.00100956	0.0320658	0.100207	0.0180619	0.0428025	0.00287642	0.135056	0.00677195	0.0311838	0.105427	0.0276626	0.0875562	0.0360822	0.926825	1.1372	0.302717	0.558342	0.833753	1.1994	1.79102	3.30342	0.8640372	1.528133	0.0085311	0.017625	0.0038582	0.00891158	0.0120047	0.000590624	0.00413181	0.0451502	0.0122583	0.0205941	0.0402405	0.000116116	0.000989887	0.00707963	0.00114679	0.00574828	0.000750909	0.00434737	0.0173346	0.0213321	0.0374814	0.00732022	0.00220614	0.0162265	0.00189406	0.0039707	0.018703	0.0283046	0.0441	0.00844107	0.0165128	0.0155609	0.0254199	0.0398509	0.0630102	0.0159697	0.000680198	0.0216046	0.0675153	0.0121694	0.0288385	0.00193801	0.0909947	0.00456266	0.0210103	0.0710322	0.0186379	0.0589917	0.0243107	1.484213
72	-993.6579	-1061.304	67.64644	0.0101275	0.00468776	0.0144204	0.00330936	0.0180461	0.00108247	0.00235499	0.0498529	0.0107305	0.0115968	0.0164759	0.00226987	0.00271231	0.00393847	0.0220458	0.00359794	0.00960283	0.0131057	0.0127112	0.00478944	0.0533668	0.00597364	0.00928384	0.0269783	0.00278888	0.00826618	0.0155678	0.0485469	0.0786332	0.0286088	0.0786587	0.0206234	0.00893293	0.0822327	0.0337307	0.152585	0.0048244	0.092655	0.0782526	0.0987059	0.0245108	0.0331416	0.0652177	0.0224829	0.0183179	0.0128332	0.0748253	0.0311387	0.0345529	0.766175	1.43842	0.249829	0.508427	0.809746	1.23496	1.96685	4.00274	1.002882	0.9987189	0.00691911	0.00320269	0.00985208	0.00226096	0.0123291	0.000739547	0.00160893	0.0340596	0.00733111	0.00792299	0.0112564	0.00155078	0.00185305	0.00269077	0.0150618	0.00245812	0.00656068	0.00895382	0.00868431	0.00327216	0.0364603	0.00408121	0.00634274	0.0184316	0.00190537	0.00564748	0.0106359	0.0331673	0.0537224	0.0195456	0.0537398	0.0140899	0.006103	0.0561816	0.0230449	0.104247	0.00329604	0.0633022	0.0534623	0.0674361	0.0167459	0.0226424	0.0445569	0.0153604	0.0125149	0.00876769	0.0511208	0.021274	0.0236066	1.463695
108	-990.8742	-1058.568	67.69395	0.0363548	0.0162232	0.00648551	0.0100942	0.0105947	0.0465206	0.00803088	0.0660007	0.00456293	0.0141534	0.0517168	0.00159332	0.000555807	0.00051313	2.03107e-05	0.0319825	5.11694e-05	0.00931742	0.00742857	0.00117508	0.0270397	0.0142689	0.0169495	0.0126195	0.000205538	0.0242797	0.0269259	0.0589334	0.0673615	0.00640033	0.0758584	0.0104026	0.0172069	0.0771814	0.12711	0.0322453	0.0100656	0.0184843	0.125385	0.0411347	0.0834731	0.0200119	0.141655	0.00392417	0.0389434	0.068507	0.0120112	0.0633413	0.0227988	0.745224	1.47771	0.300335	0.556195	0.832752	1.20084	1.79793	3.32961	0.8697479	0.9455838	0.023184	0.0103458	0.00413591	0.00643725	0.00675638	0.0296669	0.00512142	0.0420896	0.00290985	0.00902581	0.0329806	0.00101608	0.000354447	0.000327231	1.29524e-05	0.0203957	3.26315e-05	0.00594186	0.00473731	0.000749367	0.0172436	0.00909948	0.010809	0.00804765	0.000131075	0.0154835	0.017171	0.0375827	0.0429575	0.00408159	0.048376	0.00663391	0.0109731	0.0492198	0.0810597	0.0205633	0.00641901	0.0117877	0.0799596	0.0262322	0.053232	0.0127619	0.0903355	0.0025025	0.0248348	0.043688	0.00765973	0.0403937	0.0145391	1.568098
144	-989.2164	-1056.475	67.25838	0.032858	0.0187727	0.0062686	0.00919884	0.0151588	0.0153028	0.00109432	0.111149	0.000552647	0.0296347	0.088004	0.00309183	0.000375742	0.0148741	0.000166509	0.0225089	0.003271	0.014265	0.000979351	0.0157143	0.0475649	0.00390187	0.0386437	0.0115779	0.000926357	0.0136761	0.0225301	0.0687973	0.0704009	0.00356927	0.106494	0.0107506	0.004217	0.102357	0.19489	0.0573716	0.0313882	0.0216789	0.135794	0.0628475	0.158084	0.0771482	0.136351	0.00485033	0.0523251	0.107905	0.0383226	0.111895	0.0631367	0.692492	1.57658	0.453647	0.680112	0.886683	1.1278	1.47035	2.20436	0.5715389	0.8235701	0.0151935	0.00868045	0.00289859	0.00425353	0.0070094	0.00707601	0.000506012	0.0513951	0.000255543	0.013703	0.0406929	0.00142966	0.000173743	0.00687775	7.69935e-05	0.0104081	0.00151251	0.0065961	0.000452851	0.00726627	0.0219939	0.00180422	0.0178688	0.00535359	0.000428346	0.00632381	0.0104179	0.0318118	0.0325533	0.00165042	0.0492428	0.00497108	0.00194994	0.0473296	0.0901169	0.0265286	0.0145139	0.0100243	0.0627909	0.0290606	0.0730979	0.0356732	0.0630485	0.00224279	0.024195	0.049895	0.0177203	0.0517403	0.0291943	2.162636
180	-993.6445	-1060.416	66.77119	0.0196592	0.0155625	0.0205752	0.0197713	0.0574315	0.0105565	0.0397962	0.100569	0.00597754	0.0641964	0.0154454	0.00186536	0.0107223	0.00677293	0.00064891	0.0552748	0.00930715	0.00684161	0.00321965	0.035658	0.0672116	0.00240591	0.018922	0.00354887	0.00478924	0.00677678	0.0199942	0.0747583	0.074471	0.0291694	0.130611	0.0240387	0.13903	0.0921686	0.178408	0.0448929	0.00640853	0.0197919	0.153711	0.0827838	0.039773	0.0391641	0.143468	0.00491313	0.0653594	0.099664	0.0249187	0.0942203	0.125527	0.792393	1.38926	0.453576	0.68006	0.886661	1.12783	1.47046	2.2047	0.5716533	1.069441	0.00850773	0.00673481	0.00890412	0.00855621	0.0248541	0.00456844	0.0172222	0.043522	0.00258684	0.0277816	0.00668414	0.000807254	0.00464018	0.00293105	0.000280822	0.0239207	0.00402776	0.00296077	0.00139333	0.0154313	0.0290865	0.00104118	0.00818869	0.00153581	0.00207259	0.00293272	0.00865268	0.0323524	0.0322281	0.0126233	0.0565232	0.010403	0.0601667	0.0398869	0.0772079	0.0194278	0.00277336	0.00856513	0.0665201	0.0358255	0.0172122	0.0169486	0.062087	0.0021262	0.0282849	0.0431306	0.0107838	0.0407748	0.054323	2.310751
216	-986.0555	-1054.031	67.97518	0.00587021	0.0179639	0.00384959	0.0141299	0.0336017	0.00332004	0.00151396	0.0576321	0.00210112	0.0224516	0.0354081	0.0039778	0.00336668	0.000743636	0.00358744	0.00488964	0.000825334	0.0105428	0.00272244	0.0111456	0.0227274	0.0117005	0.0536886	0.0349119	0.00814404	0.00618568	0.00675437	0.0643916	0.0748346	0.00829337	0.0865983	0.0122951	0.0017127	0.0973937	0.0711846	0.165337	0.00473752	0.0717444	0.0852848	0.118805	0.0153187	0.0511408	0.0525168	0.023564	0.0465403	0.0128024	0.0509034	0.0192919	0.0276833	0.701082	1.56047	0.364058	0.610916	0.857492	1.16619	1.63689	2.74682	0.7306194	0.8423932	0.00379671	0.0116186	0.00248982	0.00913888	0.0217328	0.00214732	0.000979196	0.0372751	0.00135896	0.0145211	0.0229011	0.00257275	0.00217749	0.000480966	0.00232027	0.0031625	0.000533806	0.00681884	0.00176081	0.0072087	0.0146995	0.00756761	0.0347245	0.0225802	0.00526737	0.00400075	0.00436857	0.041647	0.0484013	0.00536395	0.0560097	0.00795221	0.00110774	0.0629919	0.0460405	0.106936	0.00306412	0.0464026	0.0551602	0.07684	0.00990778	0.0330767	0.0339666	0.0152407	0.0301012	0.00828029	0.0329231	0.0124776	0.0179049	1.54613
252	-992.6191	-1060.166	67.54717	0.0362677	0.00718074	0.0159442	0.00402229	0.0359638	0.00752455	0.00680385	0.0919827	0.00048611	0.0235228	0.0188952	0.00134222	0.0141934	0.0102581	0.00508919	0.0334722	0.00340181	0.00239902	0.0192315	0.0440662	0.0364945	0.00724719	0.0196537	0.00653501	0.00134352	0.0196265	0.0381417	0.0969318	0.0470438	0.00635867	0.0196232	0.0145807	0.117371	0.0786232	0.117485	0.0753138	0.0219488	0.0100283	0.0892363	0.0392975	0.00264257	0.0151588	0.217536	0.000596285	0.0394388	0.0512015	0.0258147	0.110871	0.0309284	0.757888	1.45396	0.356756	0.604909	0.854853	1.16979	1.65314	2.80304	0.7452701	0.9773595	0.020854	0.00412895	0.00916796	0.00231283	0.0206793	0.00432664	0.00391224	0.0528903	0.000279515	0.0135257	0.0108648	0.000771781	0.00816127	0.00589844	0.0029263	0.0192466	0.00195605	0.00137944	0.0110582	0.0253382	0.0209845	0.00416716	0.011301	0.00375765	0.000772526	0.0112853	0.0219316	0.0557361	0.0270503	0.00365625	0.0112834	0.00838395	0.0674889	0.0452086	0.0675544	0.0433057	0.0126206	0.00576628	0.0513112	0.0225962	0.00151949	0.00871638	0.125084	0.000342866	0.0226775	0.029441	0.0148435	0.0637511	0.0177839	1.739121
288	-999.4747	-1067.322	67.84743	0.00264475	0.011192	0.00700921	0.0045464	0.015909	0.000502741	0.00839535	0.0338991	0.00216917	0.0176229	0.0177046	0.000934407	0.00160434	0.00103265	0.00601638	0.00381072	0.00176882	0.00310604	0.00755301	0.00644099	0.00518072	0.00600594	0.0014785	0.011535	0.000226553	0.00221543	0.0110649	0.0139052	0.0254419	0.0114623	0.0147425	0.0163404	0.0215787	0.00544075	0.00390984	0.00112545	0.00137221	0.0101649	0.0419012	0.0397391	0.0451562	0.0378582	0.0105701	0.0166396	0.00640707	0.0358759	0.0235018	0.0101652	0.0156947	0.802584	1.37015	0.118669	0.353632	0.72303	1.38307	2.8278	8.42683	1.541164	1.098304	0.00440379	0.0186358	0.0116711	0.00757023	0.0264902	0.000837116	0.0139791	0.0564456	0.00361189	0.0293439	0.0294801	0.00155588	0.00267139	0.00171947	0.0100179	0.00634525	0.00294528	0.00517189	0.0125765	0.0107249	0.00862644	0.0100005	0.00246186	0.019207	0.000377234	0.00368893	0.0184242	0.0231536	0.0423634	0.0190859	0.0245478	0.0272085	0.0359308	0.00905941	0.00651029	0.001874	0.00228488	0.0169256	0.0697698	0.0661698	0.0751898	0.0630379	0.0176004	0.0277067	0.0106684	0.0597371	0.0391329	0.0169261	0.0261333	0.600563
324	-1000.757	-1068.594	67.83719	0.0204091	0.00560642	0.0200187	0.00413979	0.0207554	0.00707936	0.000368072	0.0586207	0.00123014	0.0178123	0.00552781	0.00277531	0.00369553	0.00990564	0.00531875	0.0362469	0.0135441	0.0191018	0.00362356	0.028776	0.0311161	0.0120683	0.00678005	0.0180496	0.00193534	0.0209317	0.00735989	0.0298549	0.0402096	0.00895744	0.0353874	0.0094114	0.0517057	0.0665297	0.0680217	0.0412264	0.0092011	0.0163089	0.0790855	0.0155253	0.0238242	0.0160971	0.105566	0.00353101	0.0350393	0.0440457	0.0141577	0.0484286	0.0200073	0.828167	1.32219	0.245308	0.503919	0.807499	1.23839	1.98445	4.07652	1.016087	1.174427	0.0175198	0.00481272	0.0171846	0.00355372	0.0178171	0.00607713	0.000315964	0.0503217	0.00105599	0.0152906	0.00474524	0.0023824	0.00317235	0.00850329	0.00456577	0.0311154	0.0116266	0.0163976	0.00311057	0.0247022	0.026711	0.0103598	0.00582019	0.0154943	0.00166136	0.0179683	0.00631794	0.0256284	0.0345171	0.00768933	0.0303776	0.00807902	0.0443857	0.057111	0.0583918	0.03539	0.00789849	0.014	0.0678893	0.0133274	0.0204514	0.0138182	0.0906207	0.00303112	0.0300788	0.0378101	0.0121534	0.0415726	0.0171748	1.164918
