Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	tree_length
0	-1006.535	-1073.272	66.73775	0.0120972	0.0204887	0.084138	0.0230545	0.0185137	0.0157524	0.00948675	0.182662	0.0144049	0.0367731	0.0647119	0.0181859	0.0176342	0.0266927	0.0101518	0.0733427	0.0115372	0.0135907	0.0265293	0.0356991	0.0572733	0.00548576	0.0526978	0.0238482	0.00586462	0.0160436	0.00529572	0.0504431	0.0393244	0.0997388	0.058895	0.260543	0.060011	0.00195171	0.00118571	0.164148	0.0352385	0.114357	0.0526583	0.0969258	0.106035	0.0149874	0.0450774	0.0462871	0.0270467	0.131885	0.0692382	0.00919213	0.0945899	0.77328	1.4251	0.561851	0.7549	0.916018	1.09168	1.32468	1.77983	0.4168625	1.017401	0.00491413	0.00832295	0.0341786	0.00936522	0.00752067	0.00639894	0.00385372	0.0742011	0.00585156	0.014938	0.0262873	0.00738749	0.00716337	0.0108431	0.00412386	0.0297933	0.00468664	0.00552084	0.0107768	0.0145017	0.0232656	0.00222843	0.0214069	0.00968762	0.00238233	0.00651724	0.00215123	0.0204911	0.0159744	0.040516	0.0239244	0.105838	0.0243777	0.000792824	0.000481661	0.0666805	0.0143146	0.0464541	0.0213909	0.0393733	0.0430736	0.00608821	0.0183114	0.0188028	0.0109869	0.0535742	0.028126	0.00373403	0.0384244	2.461715
36	-1006.708	-1074.052	67.34459	0.0359442	0.0376742	0.0117378	0.0171414	0.0193429	0.0113248	0.0149296	0.0646318	0.0162134	0.0288831	0.0250668	0.00836414	0.00428442	0.0160062	0.0203724	0.00662772	0.0129733	0.0209124	0.00321566	0.0200428	0.0487671	0.000250274	0.0127615	0.10625	0.00482067	0.0129284	0.0124888	0.0246657	0.0633438	0.106844	0.0239085	0.275602	0.114776	0.00356834	0.00489794	0.209392	0.0300329	0.111571	0.0248229	0.078947	0.15553	0.019151	0.0532707	0.0259023	0.000787786	0.0797631	0.0465006	0.0111003	0.0375962	0.694631	1.57257	0.447096	0.675304	0.884722	1.1303	1.48081	2.23666	0.5820574	0.8282209	0.0171495	0.0179749	0.00560028	0.00817844	0.00922877	0.00540325	0.00712315	0.0308368	0.00773566	0.0137806	0.0119597	0.00399066	0.00204416	0.00763679	0.00971999	0.00316219	0.00618974	0.0099776	0.00153424	0.0095627	0.0232675	0.00011941	0.00608872	0.0506936	0.00230002	0.00616834	0.00595861	0.0117684	0.0302223	0.0509767	0.0114071	0.131494	0.0547615	0.00170251	0.00233688	0.099904	0.0143292	0.0532322	0.0118434	0.0376668	0.0742058	0.00913722	0.0254162	0.0123584	0.000375865	0.0380562	0.0221861	0.00529612	0.0179377	2.09593
72	-1000.973	-1067.889	66.91575	0.0293065	0.038655	0.0179334	0.0166159	0.0313123	0.00866604	0.00831721	0.0736417	0.0128879	0.0258003	0.0818927	0.00273443	0.00545315	0.0103856	0.0211796	0.00133695	0.00581077	0.00624493	0.0013672	0.018392	0.0378251	0.0110307	0.0176803	0.0768392	0.000278071	0.0366603	0.0152405	0.0888897	0.150755	0.10162	0.048486	0.176631	0.0663325	0.0213083	0.00404929	0.11197	0.0194486	0.0959707	0.00675411	0.0982201	0.099641	0.0210498	0.0387791	0.0212889	0.00729463	0.156888	0.0780278	0.0133572	0.109464	0.823553	1.33084	0.440266	0.670253	0.882652	1.13295	1.49197	2.27135	0.5931887	1.160293	0.0136327	0.0179815	0.00834224	0.00772934	0.0145658	0.00403125	0.00386898	0.0342565	0.00599517	0.0120017	0.0380947	0.001272	0.00253669	0.00483114	0.0098523	0.000621918	0.00270304	0.00290501	0.00063599	0.00855556	0.0175954	0.00513125	0.00822448	0.0357439	0.000129353	0.0170536	0.00708955	0.0413496	0.0701278	0.0472715	0.0225546	0.0821647	0.0308564	0.00991217	0.00188364	0.0520861	0.00904707	0.0446435	0.00314186	0.0456898	0.0463508	0.00979191	0.0180392	0.00990314	0.0033933	0.0729808	0.0362969	0.00621349	0.0509205	2.149713
108	-1006.498	-1074.053	67.55504	0.00544864	0.0305125	0.0208089	0.00675351	0.0138691	0.00505326	0.00912876	0.105365	0.0309094	0.00825254	0.0504951	0.00461129	0.00545207	0.00228204	0.0184663	0.0294553	0.00976888	0.0131613	0.0172644	0.00807006	0.0819077	0.00403916	0.0205802	0.0291182	0.00035699	0.0203781	0.0690211	0.0346112	0.0454925	0.0141944	0.0673918	0.0942861	0.0363937	0.0404853	0.0602925	0.0222496	0.148996	0.00165237	0.104791	0.00772348	0.0481694	0.027273	0.0643974	0.00584378	0.041757	0.00697834	0.0584628	0.000451809	0.0326491	0.783248	1.40641	0.293491	0.549977	0.829836	1.20506	1.81826	3.40726	0.8864167	1.044211	0.00343748	0.0192499	0.013128	0.00426069	0.0087498	0.00318803	0.00575921	0.0664735	0.0195003	0.00520641	0.0318567	0.0029092	0.00343963	0.00143971	0.0116501	0.0185829	0.00616305	0.00830327	0.0108919	0.00509129	0.0516745	0.00254825	0.0129838	0.0183702	0.00022522	0.0128563	0.0435445	0.0218357	0.0287006	0.00895506	0.0425166	0.0594838	0.0229603	0.0255416	0.0380377	0.0140369	0.0939993	0.00104246	0.0661109	0.00487264	0.0303894	0.0172062	0.0406274	0.00368676	0.0263439	0.00440254	0.0368834	0.00028504	0.0205979	1.585072
144	-1007.136	-1074.846	67.70957	0.0684978	0.00785548	0.014799	0.0117893	0.0539958	0.000743647	0.00145368	0.0517332	0.0126922	0.0315515	0.037029	0.00071675	0.00571365	0.00698481	0.00213276	0.000307044	0.0165869	0.0224969	9.35909e-05	0.0139623	0.0271587	0.0102218	0.00488959	0.0115781	0.00108122	0.00805769	0.00703033	0.0960342	0.108392	0.0440388	0.0209697	0.0827049	0.0449551	0.0909538	0.00518073	0.0382429	0.0260263	0.0679452	0.00592271	0.0479101	0.10216	0.0256178	0.028435	0.0198435	0.0364955	0.000650535	0.0324774	0.0011309	0.0554112	0.72033	1.52438	0.211223	0.468462	0.789326	1.2669	2.13465	4.73434	1.124258	0.8860111	0.0484888	0.00556081	0.0104761	0.00834548	0.038223	0.000526419	0.00102904	0.0366213	0.00898465	0.0223349	0.0262124	0.000507379	0.00404463	0.00494447	0.00150975	0.000217353	0.0117417	0.0159253	6.6252e-05	0.00988377	0.0192253	0.0072359	0.00346129	0.00819604	0.000765383	0.00570395	0.00497669	0.0679815	0.0767295	0.0311745	0.0148442	0.0585458	0.0318232	0.0643852	0.00366738	0.0270717	0.0184237	0.0480977	0.00419262	0.033915	0.0723182	0.0181346	0.0201288	0.014047	0.0258348	0.000460506	0.0229904	0.000800553	0.0392249	1.412651
180	-1002.07	-1070.015	67.94526	0.0205167	0.00978915	0.00917239	0.00876302	0.0266918	0.00181141	0.00102585	0.0475036	0.00989185	0.00919908	0.0140194	0.00467066	0.00570177	0.000656264	0.0238648	0.000650489	0.00442875	0.00717914	0.00198085	0.00112921	0.0208615	0.0252172	0.00740682	0.0026618	0.00192445	0.006645	0.00131257	0.0533808	0.0779013	0.0470548	0.0290676	0.124016	0.038369	0.0683297	0.0107696	0.0926831	0.0313343	0.0413592	0.00982128	0.0560848	0.0751375	0.0209185	0.0163571	0.0203533	0.0319475	0.0048914	0.0148341	0.000227573	0.073555	0.680421	1.59921	0.18103	0.434513	0.771016	1.29699	2.30143	5.52395	1.235792	0.7977627	0.0169131	0.00806974	0.00756131	0.00722384	0.0220035	0.00149325	0.000845665	0.0391598	0.0081544	0.00758331	0.0115569	0.00385028	0.00470028	0.000540995	0.0196731	0.000536234	0.00365086	0.00591816	0.00163292	0.000930867	0.0171973	0.0207879	0.00610586	0.00219427	0.00158643	0.00547784	0.00108202	0.0440047	0.0642183	0.0387898	0.023962	0.102234	0.0316297	0.056328	0.00887796	0.0764038	0.0258306	0.0340947	0.00809623	0.0462338	0.06194	0.0172443	0.0134841	0.0167783	0.0263361	0.00403225	0.0122286	0.000187601	0.0606354	1.213069
216	-998.1933	-1066.142	67.94866	0.00623818	0.00473372	0.00157243	0.0197087	0.0201902	0.00267594	0.0108055	0.0522791	0.0066293	0.0171838	0.0157472	0.00698013	0.00400984	0.00178646	0.0164366	0.0083517	0.000300632	0.00811511	0.00789792	0.0116936	0.0107909	0.0060135	0.000735884	0.00144083	0.00669682	0.00406591	0.0163879	0.0530326	0.0413052	0.0331903	0.00340246	0.0574137	0.0374041	0.0230265	0.00055901	0.0474165	0.00690612	0.0671539	0.0121941	0.0302429	0.0766038	0.0121047	0.0153615	0.0120639	0.0110818	0.0538465	0.0182429	0.00562135	0.0333472	0.831455	1.31602	0.204253	0.460858	0.785306	1.27339	2.16987	4.8959	1.148521	1.184614	0.00677335	0.00513983	0.00170733	0.0213995	0.0219223	0.00290551	0.0117325	0.056764	0.00719802	0.0186579	0.0170981	0.00757895	0.00435384	0.00193972	0.0178467	0.00906818	0.000326423	0.00881131	0.00857547	0.0126967	0.0117167	0.00652939	0.000799015	0.00156443	0.00727133	0.00441473	0.0177938	0.0575822	0.0448488	0.0360377	0.00369435	0.0623392	0.0406129	0.025002	0.000606967	0.0514843	0.0074986	0.072915	0.0132402	0.0328375	0.0831756	0.0131432	0.0166794	0.0130989	0.0120325	0.058466	0.0198079	0.0061036	0.0362081	0.9209889
252	-1004.576	-1072.349	67.77332	0.00087615	0.00601924	0.000401309	0.00165864	0.0125259	0.00567308	0.00715315	0.0220263	0.00236523	0.00961171	0.00313636	0.00247447	0.00100366	0.00594287	0.000213742	0.0056174	0.00174669	0.00165898	0.00665839	0.00416975	0.00302628	0.00304075	0.00171958	0.00648869	0.000403951	0.00421165	0.00904376	0.00946888	0.0193786	0.0295906	0.00113448	0.0390395	0.0214101	0.0124493	2.36108e-05	0.0421811	0.00380774	0.018312	0.00274334	0.0130396	0.0361188	0.00266943	0.0199933	0.0102649	0.00776212	0.0173958	0.00174503	0.00285989	0.0108233	0.799224	1.37645	0.103938	0.331497	0.708595	1.41124	3.01662	9.62108	1.636997	1.088699	0.00194234	0.0133441	0.000889666	0.00367705	0.0277687	0.0125767	0.0158579	0.0488303	0.0052435	0.0213083	0.00695301	0.00548566	0.00222502	0.0131748	0.000473845	0.0124532	0.00387224	0.00367781	0.014761	0.00924395	0.00670898	0.00674106	0.00381215	0.0143848	0.000895522	0.00933683	0.0200492	0.0209916	0.0429605	0.0655995	0.00251503	0.0865468	0.0474641	0.0275989	5.23429e-05	0.0935115	0.00844141	0.040596	0.00608173	0.0289076	0.0800721	0.00591787	0.0443232	0.0227564	0.0172079	0.0385649	0.00386856	0.0063401	0.0239942	0.451079
288	-1006.491	-1074.28	67.78841	0.0174181	0.00810807	0.0153023	0.0281339	0.030807	0.00845226	0.0335884	0.0524676	0.0109333	0.0209558	0.036282	0.000232263	0.0138538	0.00520081	0.00453428	0.00858279	0.00663926	0.00360287	0.0228362	0.0224857	0.00816804	0.0208729	0.0315672	0.0125849	0.00161122	0.00735456	0.0212178	0.0308994	0.0579234	0.0635781	0.0217903	0.124945	0.0546781	0.0253319	2.18687e-05	0.124421	0.0162557	0.0491362	0.00640821	0.0296244	0.0780532	0.028204	0.0274254	0.0219812	0.00948493	0.0354941	0.0307251	0.0170585	0.0517929	0.80621	1.36336	0.29196	0.548576	0.829176	1.20602	1.8229	3.42513	0.8901989	1.108766	0.0128166	0.00596609	0.0112597	0.0207015	0.0226684	0.00621935	0.024715	0.0386068	0.00804497	0.0154198	0.0266971	0.000170904	0.0101939	0.00382687	0.00333642	0.0063154	0.0048853	0.00265107	0.0168034	0.0165454	0.00601021	0.0153587	0.0232278	0.00926023	0.00118557	0.00541164	0.0156125	0.0227365	0.0426212	0.0467821	0.0160338	0.091937	0.0402333	0.0186398	1.60915e-05	0.0915516	0.0119613	0.0361554	0.0047153	0.0217982	0.0574332	0.0207531	0.0201802	0.0161742	0.00697921	0.0261173	0.0226082	0.012552	0.0381103	1.359026
324	-1007.113	-1074.345	67.23221	0.00401092	0.000188076	0.0676613	0.0394476	0.0439273	0.0166258	0.0490829	0.0817326	0.00939615	0.0182315	0.0838439	0.00993992	0.0133269	0.00550164	0.00107224	0.025341	0.017644	0.0185864	0.0316831	0.021299	0.0357268	0.0520393	0.0363671	0.0275303	0.000897605	0.0100143	0.0380972	0.031673	0.0198551	0.0456463	0.0137579	0.149485	0.133679	0.150479	7.1693e-05	0.125231	0.0241294	0.0587684	0.0231063	0.0580794	0.131762	0.024321	0.0252695	0.0232062	0.0236066	0.0259111	0.0656695	0.00989189	0.0642388	0.791189	1.39152	0.429968	0.662561	0.879479	1.13704	1.5093	2.32576	0.610303	1.066084	0.00201853	9.46508e-05	0.0340511	0.0198523	0.0221068	0.00836707	0.0247013	0.0411326	0.00472869	0.00917515	0.0421951	0.00500235	0.00670689	0.00276874	0.000539613	0.0127531	0.00887949	0.00935377	0.0159448	0.0107189	0.0179798	0.0261892	0.018302	0.0138548	0.000451727	0.00503979	0.0191727	0.0159397	0.00999222	0.0229719	0.00692377	0.0752293	0.0672749	0.0757296	3.60801e-05	0.0630236	0.0121433	0.0295757	0.0116284	0.0292289	0.0663104	0.0122398	0.0127171	0.0116787	0.0118802	0.01304	0.0330487	0.00497818	0.0323287	1.987052
